step,active_joint_pos,sde_joint_1_pos,sde_joint_2_pos,sde_joint_3_pos,sde_joint_4_pos,sde_joint_5_pos,rfe_1_x,rfe_1_y,rfe_1_z,rfe_2_x,rfe_2_y,rfe_2_z,rfe_3_x,rfe_3_y,rfe_3_z,rfe_4_x,rfe_4_y,rfe_4_z,rfe_5_x,rfe_5_y,rfe_5_z,rfe_6_x,rfe_6_y,rfe_6_z
0,-2.257762628769785e-05,3.477454772908481e-05,-1.5409646056900568e-05,4.0574601375180625e-06,-1.0611099489595924e-06,2.6074826046680223e-07,0.0,0.0,0.5,0.12,0.0,0.5,0.36,0.0,0.5,0.6,0.0,0.5,0.84,0.0,0.5,1.08,0.0,0.5
1,-3.491280517058795e-05,5.077063042132827e-05,-2.0034848568315517e-05,5.275306046926614e-06,-1.3796018990524907e-06,3.3901180076888874e-07,0.0,0.0,0.5,0.11999999996941503,-2.1571632987723447e-09,0.4999972906857045,0.35999999995156323,1.7352912723313128e-10,0.5000002179459225,0.5999999999503246,-4.403858647079012e-10,0.4999994468922592,0.839999999950239,-2.789665514310875e-10,0.49999964962872023,1.0799999999502332,-3.2031323391352896e-10,0.4999995976988742
2,-3.69624336583504e-05,4.7917916324333043e-05,-1.3841206649515852e-05,3.6444798192856976e-06,-9.531070317040045e-07,2.3420852904063952e-07,0.0,0.0,0.5,0.11999999992686577,-3.335719220550826e-09,0.4999958104647083,0.3599999998966893,-3.054698759294025e-10,0.499999616341562,0.5999999998945955,-1.1036513397127348e-09,0.4999986138562835,0.8399999998944507,-8.937820500507877e-10,0.499998877444055,1.0799999998944412,-9.475389313496438e-10,0.4999988099274757
3,-2.8827209456141003e-05,2.6380715410829113e-05,3.090911679208754e-06,-8.138571320201635e-07,2.1284050654795205e-07,-5.230164021055903e-08,0.0,0.0,0.5,0.11999999991802672,-3.5315495213580004e-09,0.49999556450936794,0.35999999990362397,-1.4380818708814345e-09,0.4999981938243743,0.5999999999026246,-1.989510775662682e-09,0.4999975012508378,0.8399999999025556,-1.8445211987347831e-09,0.49999768335218064,1.079999999902551,-1.8816594932287253e-09,0.4999976367079084
4,-1.0747827040593569e-05,-1.344822750970037e-05,3.056940536012654e-05,-8.049123377169033e-06,2.1050126284662775e-06,-5.172681485111755e-07,0.0,0.0,0.5,0.11999999995013953,-2.7542752922330006e-09,0.4999965407359622,0.3599999999494213,-3.221772370836364e-09,0.4999959535775775,0.5999999999493715,-3.0986315187968565e-09,0.4999961082377606,0.839999999949368,-3.1310094722699712e-09,0.4999960675722939,1.0799999999493677,-3.1227160351012473e-09,0.49999607798853263
5,1.6900517355824065e-05,-7.095669890893716e-05,6.829482547547534e-05,-1.7982471843273297e-05,4.702789148787688e-06,-1.1556239586853042e-06,0.0,0.0,0.5,0.11999999999306904,-1.026893515713702e-09,0.49999871026116394,0.3599999999228152,-5.650483275348642e-09,0.4999929032099131,0.5999999999179408,-4.432608704916164e-09,0.4999944328136226,0.8399999999176039,-4.752829708982922e-09,0.4999940306283339,1.0799999999175818,-4.670806834255485e-09,0.49999413364591594
6,2.2656694626520957e-05,-9.480909652988584e-05,9.115767214179713e-05,-2.400240765859621e-05,6.277127071694696e-06,-1.5424885429974535e-06,0.0,0.0,0.5,0.11999999998286234,1.6147479503404584e-09,0.5000020280614398,0.3599999996322138,-8.714771139521458e-09,0.49998905458198556,0.5999999996078851,-5.993928859309951e-09,0.49999247185544365,0.8399999996062031,-6.709331628905979e-09,0.49999157333702743,1.0799999996060927,-6.526085087436113e-09,0.49999180348764916
7,6.914166057954566e-06,-8.56474377333921e-05,9.947197300036478e-05,-2.6191617256650968e-05,6.849650780893908e-06,-1.6831757196696335e-06,0.0,0.0,0.5,0.11999999996920047,2.1647178271539883e-09,0.5000027188024931,0.3599999993444843,-1.1622782346609443e-08,0.4999854022315402,0.5999999993011403,-7.991092201663822e-09,0.4999899634949514,0.8399999992981438,-8.945988106591376e-09,0.4999887641823507,1.0799999992979474,-8.701396698782394e-09,0.4999890713797697
8,-2.9948273938684608e-05,-4.4089807169519704e-05,9.354004853739805e-05,-2.462970372078226e-05,6.441178157837926e-06,-1.5828011038073924e-06,0.0,0.0,0.5,0.11999999999713169,6.606090947263301e-10,0.500000829699664,0.35999999925326037,-1.4384420150180396e-08,0.49998193372047084,0.5999999992016493,-1.0421491116553281e-08,0.4999869110072108,0.8399999991980813,-1.1463481091073941e-08,0.49998560230780204,1.0799999991978473,-1.1196581008963302e-08,0.49998593752405956
9,-5.628642555739875e-05,-2.1770525145859364e-05,9.861750647411041e-05,-2.596663122038251e-05,6.7908123777207824e-06,-1.6687172794529927e-06,0.0,0.0,0.5,0.11999999994618603,-2.861386603477881e-09,0.499996406208267,0.3599999992883896,-1.7009218542109957e-08,0.49997863707444956,0.5999999992427505,-1.3282615235193776e-08,0.4999833175451487,0.8399999992395953,-1.426246709330563e-08,0.4999820868888288,1.0799999992393883,-1.4011483349213594e-08,0.49998240211477674
